error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c1d-dsivp-p-1001,1001,Alert,c1d,IDS,DSORTOT,Plausibility,DSORTOT compared to DSPRSINF and DSSEASDY,DSORTOT must equal the sum of DSPRSINF and DSSEASDY if both have valid scores,Q1b2. DSORTOT (1b2 Total score) must equal the sum of Q1a1. DSPRSINF (Personal information) and Q1b1. DSSEASDY (Season/Day) if If Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes) and DSPRSINF ne  8 (N/A) and DSSEADY ne 8 (N/A),If DSMSEADM=1 and DSPRSINF ne 8  and DSSEASDY ne 8 AND DSORTOT ne DSPRSINF + DSSEASDY,,"DSMSEADM, DSORTOT, DSPRSINF, DSSEASDY",,,
c1d-dsivp-p-1002,1002,Alert,c1d,IDS,DSSMTOT,Plausibility,DSSMTOT compared to DSSMIMM and DSSMDEL,DSSMTOT must equal the sum of DSSMIMM and DSSMDEL if both have valid scores,Q1c3. DSSMTOT (Shoebox memory - Total score) must equal the sum of Q1c1. DSSMIMM (Shoebox memory - Immediate) and Q1c2. DSSMDEL (Shoebox memory - delayed) if Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes) and DSSMIMM ne 88 (N/A)  and DSSMDEL ne 88 (N/A),If DSMSEADM=1 and DSSMIMM ne 88 or DSSMDEL ne 88 AND DSSMTOT ne DSSMIMM + DSSMDEL,,"DSMSEADM, DSSMTOT, DSSMIMM, DSSMDEL",,,
c1d-dsivp-p-1003,1003,Alert,c1d,IDS,DSMMTOT,Plausibility,DSMMTOT compared to DSMEMIMM and DSMEMDEL,DSMMTOT must equal the sum of DSMEMIMM and DSMEMDEL if both have valid scores,Q1d3. DSMMTOT (Memory - Total score) must equal the sum of Q1d1. DSMEMIMM (Memory - Immediate) and Q1d2. DSMEMDEL (Memory - Delay) if Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes) and DSMEMIMM ne 8 (N/A) and DSMEMDEL ne 8 (N/A),If DSMSEADM=1 and DSMEMIMM ne 8 and DSMEMDEL ne 8 AND DSMMTOT ne DSMEMIMM + DSMEMDEL,,"DSMSEADM, DSMMTOT, DSMEMIMM, DSMEMDEL",,,
c1d-dsivp-p-1004,1004,Alert,c1d,IDS,DSAPTOT,Plausibility,DSAPTOT compared to DSAPINT and DSAPTRAN,DSAPTOT must equal the sum of DSAPINT and DSAPTRAN if both have valid scores,Q1e3. DSAPTOT (Apraxia - total score) must equal the sum of Q1e1. DSAPINT (Apraxia - intransitive) and Q1e2. DSAPTRAN (Apraxia - transitive) if Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes) and DSAPINT ne 8 (N/A) and DSAPTRAN ne 8.8 (N/A),If DSMSEADM=1 and DSAPINT ne 8 and DSAPTRAN ne 8.8 AND DSAPTOT ne DSAPINT + DSAPTRAN,,"DSMSEADM, DSAPTOT, DSAPINT, DSAPTRAN",,,
c1d-dsivp-p-1005,1005,Alert,c1d,IDS,DSLGTOT,Plausibility,"DSLGTOT compared to DSLGNAM, DSLGREP, DSLGCOMP","DSLGTOT must equal the sum of DSLGNAM, DSLGREP and DSLGCOMP if all subtests have valid scores","Q1f4. DSLGTOT (Language - total score) must equal the sum of Q1f1. DSLGNAM (Language - Naming), Q1f2. DSLGREP (Language - repetitions) and Q1f3. DSLGCOMP (Language - comprehension) if Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes) and DSLGNAM ne 88 (N/A) and DSLGREP ne 88 (N/A) and DSLGCOMP ne 88.8 (N/A)",If DSMSEADM=1 and DSLGNAM ne 88 and DSLGREP ne 88 and DSLGCOMP ne 88.8 AND DSLGTOT ne DSLGNAM + DSLGREP + DSLGCOMP,,"DSMSEADM, DSLGTOT, DSLGNAM, DSLGREP, DSLGCOMP",,,
c1d-dsivp-p-1006,1006,Alert,c1d,IDS,DSMSETT,Plausibility,"DSMSETT compared to DSORTOT, DSSMTOT, DSMMTOT, DSAPTOT, DSLGTOT, DSVISTT and DSKNWTT","DSMSETT must equal the sum of DSORTOT, DSSMTOT, DSMMTOT, DSAPTOT, DSLGTOT, DSVISTT and DSKNWTT if all subtotals have valid scores","Q1i1. DSMSETT (DSMSE Total score) must equal the sum of Q1b2. DSORTOT (1b2 total Score), Q1c3. DSSMTOT (Shoebox memory - Total score), Q1d3. DSMMTOT (Memory - Total score), Q1e3. DSAPTOT (Apraxia - Total score), Q1f4. DSLGTOT (Language - Total score), Q1g2. DSVISTT (Visuospatial - Total score) and Q1h2. DSKNWTT (Knowledge of the examiner - Total score) if Q1. DSMSEADM (Any part of DSMSE administered?) = 1 (Yes) and DSORTOT ne 88 and DSSMTOT ne 88 and DSMMTOT ne 8 and DSAPTOT ne 8.8 and DSLGTOT ne 88.8 and DSVISTT ne 8.8 and DSKNWTT ne 8",If DSMSEADM=1 and DSORTOT ne 88 and DSSMTOT ne 88 and DSMMTOT ne 8 and DSAPTOT ne 8.8 and DSLGTOT ne 88.8 and DSVISTT ne 8.8 and DSKNWTT ne 8 and DSMSETT ne (DSORTOT + DSSMTOT + DSMMTOT + DSAPTOT + DSLGTOT + DSVISTT + DSKNWTT),,"DSMSEADM, DSMSETT, DSORTOT, DSSMTOT, DSMMTOT, DSAPTOT, DSLGTOT, DSVISTT, DSKNWTT",,,
c1d-dsivp-p-1007,1007,Alert,c1d,IDS,DSCRTTFR,Plausibility,"DSCRTTFR compared to DSCRT1FR, DSCRT2FR, DSCRT3FR","DSCRTTFR must equal the sum of DSCRT1FR, DSCRT2FR, DSCRT3FR","Q2d13. DSCRTTFR (Free recall - total) must equal the sum of Q2d1. DSCRT1FR (Test trial - Trial 1, free recall), Q2d5. DSCRT2FR (Test trial - Trial 2, free recall), Q2d9. DSCRT3FR (Test trial - Trial 3, free recall) if Q2a. DSCRADM (Any part of the Cued Recall Task administered?) = 1 (Yes)",If DSCRADM =1 and DSCRTTFR ne DSCRT1FR + DSCRT2FR + DSCRT3FR,,"DSCRADM, DSCRTTFR, DSCRT1FR, DSCRT2FR, DSCRT3FR",,,
c1d-dsivp-p-1008,1008,Alert,c1d,IDS,DSCRTTIF,Plausibility,"DSCRTTIF compared to DSCRT1IF, DSCRT2IF, DSCRT3IF","DSCRTTIF must equal the sum of DSCRT1IF, DSCRT2IF, DSCRT3IF","Q2d14. DSCRTTIF (Intrusions to free recall - total) must equal the sum of Q2d2. DSCRT1IF (Test trial - Trial 1, intrusions to free recall), Q2d6. DSCRT2IF (Test trial - Trial 2, intrusions to free recall), Q2d10. DSCRT3IF (Test trial - Trial 3, intrusions to free recall) if Q2a. DSCRADM (Any part of the Cued Recall Task administered?) = 1 (Yes)",If DSCRADM =1 and DSCRTTIF ne DSCRT1IF + DSCRT2IF + DSCRT3IF,,"DSCRADM, DSCRTTIF, DSCRT1IF, DSCRT2IF, DSCRT3IF",,,
c1d-dsivp-p-1009,1009,Alert,c1d,IDS,DSCRTTCR,Plausibility,"DSCRTTCR compared to DSCRT1CR, DSCRT2CR, DSCRT3CR","DSCRTTCR must equal the sum of DSCRT1CR, DSCRT2CR, DSCRT3CR","Q2d15. DSCRTTCR (Cued recall - total) must equal the sum of Q2d3. DSCRT1CR (Test trial - Trial 1, cued recall), Q2d7. DSCRT2CR (Test trial - Trial 2, cued recall), Q2d11. DSCRT3CR (Test trial - Trial 3, cued recall) if Q2a. DSCRADM (Any part of the Cued Recall Task administered?) = 1 (Yes)",If DSCRADM =1 and DSCRTTCR ne DSCRT1CR + DSCRT2CR + DSCRT3CR,,"DSCRADM, DSCRTTCR, DSCRT1CR, DSCRT2CR, DSCRT3CR",,,
c1d-dsivp-p-1010,1010,Alert,c1d,IDS,DSCRTTIC,Plausibility,"DSCRTTIC compared to DSCRT1IC, DSCRT2IC, DSCRT3IC","DSCRTTIC must equal the sum of DSCRT1IC, DSCRT2IC, DSCRT3IC","Q2d16. DSCRTTIC (Intrusions to cued recall - total) must equal the sum of Q2d4. DSCRT1IC (Test trial - Trial 1, intrusions to cued recall), Q2d8. DSCRT2IC (Test trial - Trial 2, intrusions to cued recall), Q2d12. DSCRT3IC (Test trial - Trial 3, intrusions to cued recall) if Q2a. DSCRADM (Any part of the Cued Recall Task administered?) = 1 (Yes)",If DSCRADM =1 and DSCRTTIC ne DSCRT1IC + DSCRT2IC + DSCRT3IC,,"DSCRADM, DSCRTTIC, DSCRT1IC, DSCRT2IC, DSCRT3IC",,,
c1d-dsivp-p-1011,1011,Alert,c1d,IDS,DSORTOT,Plausibility,DSORTOT compared to DSPRSINF and DSSEASDY,DSORTOT must = 88 if DSPRSINF = 8 or DSSEASDY = 8 ,Q1b2. DSORTOT (1b2 Total score) must be 88 (N/A) if Q1a1. DSPRSINF (Personal information) = 8 (N/A) or Q1b1. DSSEASDY (Season/Day) = 8 (N/A),If (DSSEASDY = 8 or  DSPRSINF = 8) AND DSORTOT ne 88,,"DSORTOT, DSPRSINF, DSSEASDY",,,
c1d-dsivp-p-1012,1012,Alert,c1d,IDS,DSSMTOT,Plausibility,DSSMTOT compared to DSSMIMM and DSSMDEL,DSSMTOT must = 88 if DSSMIMM = 88 or DSSMDEL = 88,Q1c3. DSSMTOT (Shoebox memory - Total score) must be 88 (N/A) if Q1c1. DSSMIMM (Shoebox memory - Immediate) = 88 (N/A) or Q1c2. DSSMDEL (Shoebox memory - delayed) if DSSMIMM = 88 (N/A) ,If (DSSMIMM = 88 or DSSMDEL = 88) AND DSSMTOT ne 88,,"DSSMTOT, DSSMIMM, DSSMDEL",,,
c1d-dsivp-p-1013,1013,Alert,c1d,IDS,DSMMTOT,Plausibility,DSMMTOT compared to DSMEMIMM and DSMEMDEL,DSMMTOT must = 8 if DSMEMIMM = 8 or DSMEMDEL = 8,Q1d3. DSMMTOT (Memory - Total score) must equal 8 (N/A) if Q1d1. DSMEMIMM (Memory - Immediate)  = 8 (N/A) or Q1d2. DSMEMDEL (Memory - Delay) = 8 (N/A),If (DSMEMIMM = 8  or DSMEMDEL = 8) AND DSMMTOT ne 8,,"DSMMTOT, DSMEMIMM, DSMEMDEL",,,
c1d-dsivp-p-1014,1014,Alert,c1d,IDS,DSAPTOT,Plausibility,DSAPTOT compared to DSAPINT and DSAPTRAN,DSAPTOT must = 8.8 if DSAPINT = 8 or DSAPTRAN = 8.8,Q1e3. DSAPTOT (Apraxia - total score) must equal 8.8 (N/A) if Q1e1. DSAPINT (Apraxia - intransitive) = 8 (N/A) or Q1e2. DSAPTRAN (Apraxia - transitive) = 8.8 (N/A),If (DSAPINT = 8 or DSAPTRAN = 8.8) AND DSAPTOT ne 8.8,,"DSAPTOT, DSAPINT, DSAPTRAN",,,
c1d-dsivp-p-1015,1015,Alert,c1d,IDS,DSLGTOT,Plausibility,"DSLGTOT compared to DSLGNAM, DSLGREP, DSLGCOMP",DSLGTOT must = 88.8 (N/A) if any subtest has invalid/missing scores (DSLGNAM = 88 OR DSLGREP = 88 OR DSLGCOMP = 88.8),Q1f4. DSLGTOT (Language - total score) must equal 88.8 (N/A) if Q1f1. DSLGNAM (Language - Naming) = 88 (N/A) or Q1f2. DSLGREP (Language - repetitions) = 88 (N/A) or Q1f3. DSLGCOMP (Language - comprehension) = 88.8 (N/A),If (DSLGNAM = 88 or DSLGREP = 88 or DSLGCOMP = 88.8) AND DSLGTOT ne 88.8,,"DSLGTOT, DSLGNAM, DSLGREP, DSLGCOMP",,,
c1d-dsivp-p-1016,1016,Alert,c1d,IDS,DSMSETT,Plausibility,"DSMSETT compared to DSORTOT, DSSMTOT, DSMMTOT, DSAPTOT, DSLGTOT, DSVISTT and DSKNWTT","DSMSETT must equal 995.0, 996.0, 997.0, or 998.0 if DSORTOT=88 or DSSMTOT=88 or DSMMTOT =8 or DSAPTOT = 8.8 or DSLGTOT = 88.8 or DSVISTT = 8.8 or DSKNWTT =8","Q1i1. DSMSETT (DSMSE Total score) must equal 995.0, 996.0, 997.0, or 998.0 (not completed) if Q1b2. DSORTOT (1b2 total Score) = 88 or Q1c3. DSSMTOT (Shoebox memory - Total score) = 88 or Q1d3. DSMMTOT (Memory - Total score) = 8 or Q1e3. DSAPTOT (Apraxia - Total score) = 8.8 or Q1f4. DSLGTOT (Language - Total score) = 88.8 or Q1g2. DSVISTT (Visuospatial - Total score) = 8.8 or Q1h2. DSKNWTT (Knowledge of the examiner - Total score) =8","If (DSORTOT=88 or DSSMTOT=88 or DSMMTOT =8 or DSAPTOT = 8.8 or DSLGTOT = 88.8 or DSVISTT = 8.8 or DSKNWTT =8) and DSMSETT not in (995.0, 996.0, 997.0, 998.0)",,"DSMSETT, DSORTOT, DSSMTOT, DSMMTOT, DSAPTOT, DSLGTOT, DSVISTT, DSKNWTT",,,
c1d-dsivp-p-1017,1017,Alert,c1d,IDS,DSVISUO ,Plausibility,DSVISUO compared to DSVISTT,DSVISUO must equal DSVISTT,Q1g2. DSVISTT  (Visuospatial - Total score)  must equal Q1g1. DSVISUO (Visuospatial),If DSVISUO ne DSVISTT,,"DSVISUO, DSVISTT",,,
c1d-dsivp-p-1018,1018,Alert,c1d,IDS,DSKNOWL ,Plausibility,DSKNOWL compared to DSKNWTT,DSKNOWL must equal DSKNWTT,Q1h2. DSKNWTT  (Knowledge of examiner - Total score)  must equal Q1h1. DSKNOWL (Knowledge of examiner),If DSKNOWL ne DSKNWTT,,"DSKNOWL, DSKNWTT",,,
