form_name,question,var_name,missingness,conformity,response_labels,data_type,branching_logic
enrl,0a. ADCID,ADCID,Always,List of current ADCIDs,List of current ADCIDs,Integer,
enrl,0b. PTID,PTID,Always,10 digit alpha numeric code,,String,
enrl,0c. Form date,FRMDATE_ENRL,Always,mm/dd/yyyy,,Date,
enrl,0d. Initials,INITIALS_ENRL,No,Any text,,String,
enrl,0e. Form version,FORMVER,Always,1,"1, 1",Numeric,
enrl,1. Is this to assign a NACCID for the first time or to transfer a participant?,ENRLTYPE,Always,Integers 1-2,"1, Assign NACCID for first-time participants|2, Transfer a participant to your site",Integer,
enrl,2a. Participant's month of birth,ENRLBIRTHMO,Always,Integers 1-12,"1, 1 - January | 2, 2 - February | 3, 3 - March | 4, 4 - April | 5, 5 - May | 6, 6 - June | 7, 7 - July | 8, 8 - August | 9, 9 - September | 10, 10 - October | 11, 11 - November | 12, 12 - December",Integer,
enrl,2b. Participant's year of birth,ENRLBIRTHYR,Always,1850 - current year minus 15,,Integer,
enrl,3. How many years of education has the participant completed?,ENRLEDUC,Always,"Integers 0-36, 99","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10|11, 11|12, 12|13, 13|14, 14|15, 15|16, 16|17, 17|18, 18|19, 19|20, 20|21, 21|22, 22|23, 23|24, 24|25, 25|26, 26|27, 27|28, 28|29, 29|30, 30|31, 31|32, 32|33, 33|34, 34|35, 35|36, 36|99, Unknown",Integer,
enrl,4a. Gender--Man,ENRLGENMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
enrl,4b. Gender--Woman,ENRLGENWOMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
enrl,4c. Gender--Transgender man,ENRLGENTRMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
enrl,4d. Gender--Transgender woman,ENRLGENTRWOMAN,Conditional (e.g. skip pattern),1 or blank,,Integer,
enrl,4e. Gender--Non-binary/genderqueer,ENRLGENNONBI,Conditional (e.g. skip pattern),1 or blank,,Integer,
enrl,4f. Gender--Two-spirit,ENRLGENTWOSPIR,Conditional (e.g. skip pattern),1 or blank,,Integer,
enrl,4g. Gender--I use a different term (specify),ENRLGENOTH,Conditional (e.g. skip pattern),1 or blank,,Integer,
enrl,4g1. Gender--I use a different term specify,ENRLGENOTHX,Conditional (e.g. skip pattern),Any text,,String,
enrl,4h. Gender--Don't know,ENRLGENDKN,Conditional (e.g. skip pattern),1 or blank,,Integer,
enrl,4i. Gender--Prefer not to answer,ENRLGENNOANS,Conditional (e.g. skip pattern),1 or blank,,Integer,
enrl,5. Does the participant have a NIA GUID?,GUIDAVAIL,Always,Integers 0-1,"0, No|1, Yes",Integer,
enrl,5a. Please provide the NIA GUID:,GUID,Conditional (e.g. skip pattern),10 digit alpha numeric code,,String,[guidavail] = '1'
enrl,6. Has the participant been previously enrolled at another ADRC? ,PREVENRL,Always,"Integers 0-1, 9","0, No|1, Yes|9, Unknown",Integer,
enrl,"6a. At which ADRC was this participant previously enrolled (enter
ADCID)?",OLDADCID,Conditional (e.g. skip pattern),List of current ADCIDs,List of current ADCIDs. Valid codes are available here: https://naccdata.org/center-ids,Integer,[prevenrl] = '1'
enrl,6b. Please provide the previous PTID (if known):,OLDPTID,No,Any text,,String,[prevenrl] = '1'
enrl,"7. If this is a transfer, is the NACCID for this participant known?",NACCIDKNWN,Conditional,"Integers 0-1, 8, or blank","0, No|1, Yes|8, Not an update",Integer,[enrltype]='2'
enrl,7a. Please provide the NACCID: ,NACCID,Conditional (e.g. skip pattern),"10 digit alpha numeric code beginning with ""NACC""",,String,[naccidknwn] = '1'
enrl,8. Please re-enter the participant PTID before completing the form,PTIDCONF,Always,10 digit alpha numeric code,,String,
