error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b7-i4vp-p-1001,1001,Alert,b7,I4,MEALPREP,Plausibility,STOVE compared to MEALPREP,IF STOVE=0 then MEALPREP should not =3,"If Q5. STOVE (difficulty with using stove or kitchen appliances) =0 (normal), then Q6. MEALPREP (difficulty withpreparing meals) should not equal 3 (dependent)",IF STOVE=0 and MEALPREP=3,,"STOVE, MEALPREP",No,Yes,
b7-i4vp-p-1002,1002,Alert,b7,I4,MEALPREP,Plausibility,STOVE compared to MEALPREP,IF STOVE=3 then MEALPREP should not =0,"If Q5. STOVE (difficulty with using stove or kitchen appliances) =3 (dependent), then Q6. MEALPREP (difficulty withpreparing meals) should not equal 0 (normal)",IF STOVE=3 and MEALPREP=0,,"STOVE, MEALPREP",No,Yes,
b7-i4vp-p-1003,1003,Alert,b7,I4,BILLS,Plausibility,BILLS compared to previous visit ,"IF BILLS[UDSv3]=3, then BILLS should not equal 0","IF Q1. BILLS (difficulty with checks, bills, checkbooks)=3 (dependent) at the previous visit, then Q1. BILLS (difficulty with checks, bills, checkbooks) should not equal 0 (Normal)",IF BILLS[UDSv3]=3 and BILLS=0,"b7, b7[UDSv3]","BILLS, BILLS[UDSv3]",,,
b7-i4vp-p-1004,1004,Alert,b7,I4,TAXES,Plausibility,TAXES compared to previous visit ,"IF TAXES[UDSv3]=3, then TAXES should not equal 0","IF Q2. TAXES (difficulty with taxes, business, and other papers)=3 (dependent) at the previous visit, then Q2. TAXES (difficulty with taxes, business, and other papers) should not equal 0 (Normal)",IF TAXES[UDSv3]=3 and TAXES=0,"b7, b7[UDSv3]","TAXES, TAXES[UDSv3]",,,
b7-i4vp-p-1005,1005,Alert,b7,I4,SHOPPING,Plausibility,SHOPPING compared to previous visit ,"IF SHOPPING[UDSv3]=3, then SHOPPING should not equal 0","IF Q3. SHOPPING (difficulty with shopping for clothes, groceries, etc.)=3 (dependent) at the previous visit, then Q3. SHOPPING (difficulty with shopping for clothes, groceries, etc.) should not equal 0 (Normal)",IF SHOPPING[UDSv3]=3 and SHOPPING=0,"b7, b7[UDSv3]","SHOPPING, SHOPPING[UDSv3]",,,
b7-i4vp-p-1006,1006,Alert,b7,I4,GAMES,Plausibility,GAMES compared to previous visit ,"IF GAMES[UDSv3]=3, then GAMES should not equal 0","IF Q4. GAMES (difficulty with playing skilled games or hobbies)=3 (dependent) at the previous visit, then Q4. GAMES (difficulty with playing skilled games or hobbies) should not equal 0 (Normal)",IF GAMES[UDSv3]=3 and GAMES=0,"b7, b7[UDSv3]","GAMES, GAMES[UDSv3]",,,
b7-i4vp-p-1007,1007,Alert,b7,I4,STOVE,Plausibility,STOVE compared to previous visit ,"IF STOVE[UDSv3]=3, then STOVE should not equal 0","IF Q5. STOVE (difficulty with using stove or kitchen appliances)=3 (dependent) at the previous visit, then Q5. STOVE (difficulty with using stove or kitchen appliances) should not equal 0 (Normal)",IF STOVE[UDSv3]=3 and STOVE=0,"b7, b7[UDSv3]","STOVE, STOVE[UDSv3]",,,
b7-i4vp-p-1008,1008,Alert,b7,I4,MEALPREP,Plausibility,MEALPREP compared to previous visit ,"IF MEALPREP[UDSv3]=3, then MEALPREP should not equal 0","IF Q6. MEALPREP (difficulty withpreparing meals)=3 (dependent) at the previous visit, then Q6. MEALPREP (difficulty withpreparing meals) should not equal 0 (Normal)",IF MEALPREP[UDSv3]=3 and MEALPREP=0,"b7, b7[UDSv3]","MEALPREP, MEALPREP[UDSv3]",,,
b7-i4vp-p-1009,1009,Alert,b7,I4,EVENTS,Plausibility,EVENTS compared to previous visit ,"IF EVENTS[UDSv3]=3, then EVENTS should not equal 0","IF Q7. EVENTS (difficulty with current events)=3 (dependent) at the previous visit, then Q7. EVENTS (difficulty with current events) should not equal 0 (Normal)",IF EVENTS[UDSv3]=3 and EVENTS=0,"b7, b7[UDSv3]","EVENTS, EVENTS[UDSv3]",,,
b7-i4vp-p-1010,1010,Alert,b7,I4,PAYATTN,Plausibility,PAYATTN compared to previous visit ,"IF PAYATTN[UDSv3]=3, then PAYATTN should not equal 0","IF Q8. PAYATTN (difficulty with paying attention to TV, books, magazines)=3 (dependent) at the previous visit, then Q8. PAYATTN (difficulty with paying attention to TV, books, magazines) should not equal 0 (Normal)",IF PAYATTN[UDSv3]=3 and PAYATTN=0,"b7, b7[UDSv3]","PAYATTN, PAYATTN[UDSv3]",,,
b7-i4vp-p-1011,1011,Alert,b7,I4,REMDATES,Plausibility,REMDATES compared to previous visit ,"IF REMDATES[UDSv3]=3, then REMDATES should not equal 0","IF Q9. REMDATES (difficulty with remembering appointments, holidays, medications)=3 (dependent) at the previous visit, then Q9. REMDATES (difficulty with remembering appointments, holidays, medications) should not equal 0 (Normal)",IF REMDATES[UDSv3]=3 and REMDATES=0,"b7, b7[UDSv3]","REMDATES, REMDATES[UDSv3]",,,
b7-i4vp-p-1012,1012,Alert,b7,I4,TRAVEL,Plausibility,TRAVEL compared to previous visit ,"IF TRAVEL[UDSv3]=3, then TRAVEL should not equal 0","IF Q10. TRAVEL (difficulty with travling, driving, public transport)=3 (dependent) at the previous visit, then Q10. TRAVEL (difficulty with travling, driving, public transport) should not equal 0 (Normal)",IF TRAVEL[UDSv3]=3 and TRAVEL=0,"b7, b7[UDSv3]","TRAVEL, TRAVEL[UDSv3]",,,
